ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
MCSS:hasTimestamp,OFB:hasScheduledPublishTimestamp,81.82,Represents the timestamp of when the message was sent.,Timestamp indicating when the scheduled post will be published.
MCSS:hasTimestamp,OFB:hasSearchTimestamp,81.82,Represents the timestamp of when the message was sent.,Records the timestamp of a search query.
MCSS:hasGiftTimestamp,OFB:hasJoinTimestamp,81.25,Records the timestamp when a gift was sent during a live session.,Records the timestamp of when a user joined the community.
MCSS:hasGiftTimestamp,OFB:hasLikeTimestamp,81.25,Records the timestamp when a gift was sent during a live session.,Records the timestamp when a like was made.
MCSS:hasGiftTimestamp,OFB:hasMuteTimestamp,81.25,Records the timestamp when a gift was sent during a live session.,Records the timestamp when a topic or user was muted.
MCSS:hasLikeTimestamp,OFB:hasJoinTimestamp,81.25,Records the timestamp when a like interaction occurred.,Records the timestamp of when a user joined the community.
MCSS:hasLikeTimestamp,OFB:hasMuteTimestamp,81.25,Records the timestamp when a like interaction occurred.,Records the timestamp when a topic or user was muted.
MCSS:hasLiveStartTime,OFB:hasPollStartTime,81.25,Represents the start time of the live session.,Indicates the start time of a poll.
MCSS:hasResponseTime,OFB:hasAverageResponseTime,81.08,Represents the average response time for a message in seconds.,Specifies the average response time of the moderator in hours.
MCSS:hasShortDescription,OFB:hasRuleDescription,81.08,Stores the description of the short video.,Provides a textual description of a specific community rule.
MCSS:hasGroupMessageTitle,OFB:hasGroupMessageContent,80.95,Represents the title of a group message thread.,Represents the content of a group message.
MCSS:hasChannelDescription,OFB:hasDescription,80,Description of the channel.,Provides a description for the community.
MCSS:hasCommentTimestamp,OFB:hasJoinTimestamp,80,Records the timestamp when a comment interaction occurred.,Records the timestamp of when a user joined the community.
MCSS:hasCommentTimestamp,OFB:hasMuteTimestamp,80,Records the timestamp when a comment interaction occurred.,Records the timestamp when a topic or user was muted.
MCSS:hasLastLoginDate,OFB:hasLastLoginIP,80,The date and time of the user's last login.,"
            The IP address used during the user's last login.
            Important for digital forensics or geolocation.
        "
MCSS:hasLikeCount,OFB:hasViewsCount,80,Represents the number of likes the video has received.,Represents the total number of views for a content item.
MCSS:hasLikeTimestamp,OFB:hasUnblockTimestamp,80,Records the timestamp when a like interaction occurred.,Records the timestamp when a user was unblocked.
MCSS:hasNotificationPreferences,OFB:hasNotificationFrequency,80,Notification preferences set by the user.,"Defines the frequency of notifications for a community (e.g., Instant or Daily Digest)."
MCSS:hasReportTimestamp,OFB:hasShareTimestamp,80,Records the timestamp when a report interaction occurred.,Records the timestamp when content was shared.
MCSS:hasReportTimestamp,OFB:hasTimestamp,80,Records the timestamp when a report interaction occurred.,Records the date and time when the user action was performed.
MCSS:hasResponseTime,OFB:hasReason,80,Represents the average response time for a message in seconds.,"Optional property specifying the reason for the action, such as privacy concerns or security."
MCSS:hasShareTimestamp,OFB:hasReportTimestamp,80,Records the timestamp when a share interaction occurred.,Records the timestamp when the report was filed.
MCSS:hasSubscriptionBenefits,OFB:hasSubscriptionEndDate,80,Describes the benefits associated with a subscription.,Records the end date of a user's subscription.
MCSS:hasSubscriptionStatus,OFB:hasSubscriptionType,80,Indicates whether the user has an active subscription.,"Indicates the type of subscription (e.g., Free, Premium)."
MCSS:hasTimestamp,OFB:hasFollowTimestamp,80,Represents the timestamp of when the message was sent.,Records the timestamp when a user started following a topic.
MCSS:hasTimestamp,OFB:hasLogoutTimestamp,80,Represents the timestamp of when the message was sent.,The date and time when the session was logged out.
MCSS:hasTimestamp,OFB:hasReportTimestamp,80,Represents the timestamp of when the message was sent.,Records the timestamp when the report was filed.
MCSS:hasTimestamp,OFB:hasUpvoteTimestamp,80,Represents the timestamp of when the message was sent.,Records the timestamp when an upvote was made.
MCSS:hasTitle,OFB:hasPostTitle,80,Stores the title of the video.,Title of the post.
MCSS:hasUnreadMessageCount,OFB:hasUnreadCount,80,Represents the number of unread messages for a user.,Indicates the number of unread notifications.
MCSS:hasViewCount,OFB:hasDraftViewsCount,80,Represents the number of views the video has received.,Represents the number of views on a user's draft.
MCSS:hasViewCount,OFB:hasVotesCount,80,Represents the number of views the video has received.,Represents the total number of votes for a content item.
